latitude: 31.888266416309463, longitude: 118.81154821649251, altitude: 44.5
latitude: 31.88826641822384, longitude: 118.81154825542147, altitude: 44.8
latitude: 31.888266429510946, longitude: 118.81154827962575, altitude: 45.1
latitude: 31.888266446069544, longitude: 118.81154811917756, altitude: 45.4
latitude: 31.888266460605546, longitude: 118.81154812736504, altitude: 45.7
latitude: 31.888266312088092, longitude: 118.81154812623154, altitude: 46
latitude: 31.888266313925172, longitude: 118.81154813242976, altitude: 46.3
latitude: 31.88826632180209, longitude: 118.8115481127085, altitude: 46.6
latitude: 31.888266335092457, longitude: 118.81154811484213, altitude: 46.9
latitude: 31.88826618960175, longitude: 118.81154794837764, altitude: 47.2
latitude: 31.888266196731337, longitude: 118.81154794084911, altitude: 47.5
latitude: 31.888266243720388, longitude: 118.81154797257213, altitude: 47.8
latitude: 31.88826626882874, longitude: 118.8115479782596, altitude: 48.1
latitude: 31.888266139156464, longitude: 118.81154786169309, altitude: 48.4
latitude: 31.888266167280996, longitude: 118.81154785951591, altitude: 48.7
latitude: 31.888266192577692, longitude: 118.81154773999098, altitude: 49
latitude: 31.888266231467817, longitude: 118.81154772640014, altitude: 49.3
latitude: 31.888266230134985, longitude: 118.81154775681938, altitude: 49.6
latitude: 31.888266273718067, longitude: 118.81154775202674, altitude: 49.8
latitude: 31.88826625102766, longitude: 118.81154762500704, altitude: 50
latitude: 31.888266301176778, longitude: 118.81154761829674, altitude: 50.2
latitude: 31.888266278297436, longitude: 118.81154752928086, altitude: 50.4
latitude: 31.888266332114213, longitude: 118.81154752932851, altitude: 50.5
latitude: 31.888266292089234, longitude: 118.81154760767164, altitude: 50.6
latitude: 31.888266340062412, longitude: 118.81154762382306, altitude: 50.7
latitude: 31.888266436419393, longitude: 118.81154766337096, altitude: 50.8
latitude: 31.888266495769827, longitude: 118.81154768251808, altitude: 50.8
latitude: 31.888266561787837, longitude: 118.81154751326441, altitude: 50.8
latitude: 31.888266628169145, longitude: 118.81154750839075, altitude: 50.8
latitude: 31.888266675295867, longitude: 118.81154748329477, altitude: 50.7
latitude: 31.888266733825752, longitude: 118.81154746858492, altitude: 50.7
latitude: 31.888266359534803, longitude: 118.81154746860008, altitude: 50.7
latitude: 31.888266371625992, longitude: 118.8115474593229, altitude: 50.7
latitude: 31.888266656668495, longitude: 118.81154738034563, altitude: 50.6
latitude: 31.88826669821819, longitude: 118.811547373665, altitude: 50.6
latitude: 31.88826674955436, longitude: 118.81154728167014, altitude: 50.6
latitude: 31.88826684290003, longitude: 118.81154722096099, altitude: 50.5
latitude: 31.888267045675455, longitude: 118.81154701468279, altitude: 50.5
latitude: 31.88826725349554, longitude: 118.81154684857839, altitude: 50.5
latitude: 31.88826750367837, longitude: 118.81154654556634, altitude: 50.5
latitude: 31.888267859317697, longitude: 118.8115462685315, altitude: 50.5
latitude: 31.88826839536893, longitude: 118.81154576393551, altitude: 50.5
latitude: 31.88826897023532, longitude: 118.81154532966325, altitude: 50.5
latitude: 31.888269709916127, longitude: 118.81154452189942, altitude: 50.5
latitude: 31.88827058024658, longitude: 118.81154385824348, altitude: 50.5
latitude: 31.888271901926856, longitude: 118.81154289874458, altitude: 50.5
latitude: 31.8882731669972, longitude: 118.8115419648445, altitude: 50.5
latitude: 31.88827471455989, longitude: 118.81154079610512, altitude: 50.5
latitude: 31.888276383765934, longitude: 118.81153954129984, altitude: 50.5
latitude: 31.88827842639942, longitude: 118.81153779403836, altitude: 50.5
latitude: 31.88828054646003, longitude: 118.8115361564943, altitude: 50.5
latitude: 31.88828309575005, longitude: 118.81153416661617, altitude: 50.5
latitude: 31.88828570064608, longitude: 118.81153213722675, altitude: 50.5
latitude: 31.888288670629603, longitude: 118.8115297139122, altitude: 50.5
latitude: 31.888291778350595, longitude: 118.81152727434694, altitude: 50.5
latitude: 31.888295082745472, longitude: 118.81152452261472, altitude: 50.5
latitude: 31.888298695347505, longitude: 118.81152167824379, altitude: 50.5
latitude: 31.888302763934647, longitude: 118.81151865475273, altitude: 50.5
latitude: 31.888306896315665, longitude: 118.81151542249542, altitude: 50.5
latitude: 31.888311293925543, longitude: 118.81151182715975, altitude: 50.6
latitude: 31.888315906836024, longitude: 118.81150819125331, altitude: 50.5
latitude: 31.888320746244116, longitude: 118.81150437499579, altitude: 50.6
latitude: 31.888325825672776, longitude: 118.8115003582708, altitude: 50.5
latitude: 31.888330983009393, longitude: 118.81149630197395, altitude: 50.5
latitude: 31.888336513120215, longitude: 118.81149193306244, altitude: 50.5
latitude: 31.88834223671159, longitude: 118.81148759775476, altitude: 50.5
latitude: 31.888348218699665, longitude: 118.8114828883003, altitude: 50.5
latitude: 31.88835434552507, longitude: 118.81147808336686, altitude: 50.5
latitude: 31.888360755250837, longitude: 118.81147304739918, altitude: 50.5
latitude: 31.888367067651632, longitude: 118.81146797314103, altitude: 50.5
latitude: 31.88837379406908, longitude: 118.81146268694845, altitude: 50.5
latitude: 31.888380475416284, longitude: 118.81145737905788, altitude: 50.5
latitude: 31.888387433159245, longitude: 118.81145192978525, altitude: 50.5
latitude: 31.888394218341375, longitude: 118.81144666140096, altitude: 50.4
latitude: 31.888401300259382, longitude: 118.81144114751378, altitude: 50.4
latitude: 31.888407990470736, longitude: 118.81143577537696, altitude: 50.4
latitude: 31.888415053697265, longitude: 118.81143028453465, altitude: 50.4
latitude: 31.888421683609007, longitude: 118.81142526265216, altitude: 50.4
latitude: 31.88842862379041, longitude: 118.8114198983147, altitude: 50.4
latitude: 31.88843516769415, longitude: 118.81141479348463, altitude: 50.4
latitude: 31.888441936656253, longitude: 118.81140955970804, altitude: 50.4
latitude: 31.88844790792286, longitude: 118.81140445918635, altitude: 50.3
latitude: 31.888454413686492, longitude: 118.81139938234516, altitude: 50.3
latitude: 31.88846042562904, longitude: 118.81139462138262, altitude: 50.3
latitude: 31.888466640822756, longitude: 118.81138978833917, altitude: 50.3
latitude: 31.888472295608675, longitude: 118.81138503216927, altitude: 50.3
latitude: 31.888478128313267, longitude: 118.81138046353684, altitude: 50.3
latitude: 31.888483330206768, longitude: 118.81137595793487, altitude: 50.3
latitude: 31.888488696937188, longitude: 118.81137169672594, altitude: 50.3
